Fechas;Cadena;Código SAP POS;Región;Comuna;Local;Online/Offline;División;Valores PVP c/IVA
Junio 2025;Preunic;3410735;09 - La Araucanía;Temuco;131 Preunic - Av. Alemania 671, Temuco;Offline;Lifestyle;1898561,7
Junio 2025;Preunic;3394348;08 - Biobío;Coronel;075 Preunic - Manuel Montt 350, Coronel;Offline;Lifestyle;1334400,55
Junio 2025;Preunic;3394319;05 - Valparaíso;San Antonio;047 Preunic - Barros Luco 105, San Antonio;Offline;Lifestyle;3157360,36
Junio 2025;Preunic;3394490;13 - Metropolitana de Santiago;Puente Alto;089 Preunic - Concha y Toro 468, Puente Alto;Offline;Lifestyle;1202480,72
Junio 2025;Preunic;3436234;13 - Metropolitana de Santiago;Ñuñoa;142 Preunic - José Pedro Alessandri 1166, Ñuñoa;Offline;Lifestyle;802426,52
Junio 2025;Maicao;3399184;10 - Los Lagos;Puerto Varas;205 Maicao - Del Salvador 240, Puerto Varas;Offline;Lifestyle;999162,9963
Junio 2025;Maicao;3399254;13 - Metropolitana de Santiago;Santiago;014 Maicao - Estado 114, Santiago;Offline;Lifestyle;553471,023
Junio 2025;Maicao;3399228;13 - Metropolitana de Santiago;Quilicura;035 Maicao - Manuel Antonio Matta 536, Quilicura;Offline;Lifestyle;1130515,101
Junio 2025;Maicao;3399034;05 - Valparaíso;Quillota;263 Maicao - OHiggins 198, Quillota;Offline;Lifestyle;1171043,074
Junio 2025;Maicao;3399096;07 - Maule;Molina;408 Maicao - Quechereguas 2027, Molina;Offline;Lifestyle;2753135,031
Junio 2025;Maicao;3399265;13 - Metropolitana de Santiago;Cerrillos;293 Maicao - Av. Américo Vespucio 1501, Cerrillos;Offline;Lifestyle;683379,0509
Junio 2025;Maicao;3394425;13 - Metropolitana de Santiago;La Cisterna;248 Maicao - Américo Vespucio 75, La Cisterna;Offline;Lifestyle;4352973,174
Junio 2025;Maicao;3436255;13 - Metropolitana de Santiago;Curacaví;459 Maicao - Avenida Ambrosio Ohiggins 1998, Curacaví;Offline;Lifestyle;1293652,998
Junio 2025;Maicao;No Definido;No Definido;No Definido;482 Maicao - Sin Direccion;Offline;Lifestyle;1019784,007
Junio 2025;Maicao;3410737;08 - Biobío;Laja;456 Maicao - Av. Balmaceda # 233, Laja;Offline;Lifestyle;3098953,077
Junio 2025;Maicao;3394403;01 - Tarapacá;Iquique;445 Maicao - Tarapacá 521, Iquique;Offline;Lifestyle;568287,0109
Junio 2025;Maicao;3399162;09 - La Araucanía;Lautaro;452 Maicao - Av Bernardo OHiggins # 978 Local 1, Lautaro;Offline;Lifestyle;3807405,012
Junio 2025;Maicao;3399123;08 - Biobío;Concepción;451 Maicao - Aníbal Pinto 592, Concepción;Offline;Lifestyle;1975411,079
Junio 2025;Maicao;3399253;13 - Metropolitana de Santiago;Santiago;286 Maicao - Estado 352, Santiago;Offline;Lifestyle;825605,0187
Junio 2025;Maicao;3436231;08 - Biobío;Concepción;471 Maicao - Barros Arana 541, Concepción;Offline;Lifestyle;1239285,052
Junio 2025;Maicao;3436256;13 - Metropolitana de Santiago;Santiago;473 Maicao - 21 de mayo #523, Santiago;Offline;Lifestyle;986171,0999
Junio 2025;Preunic;3394329;01 - Tarapacá;Iquique;052 Preunic - Vivar 610, Iquique;Offline;Lifestyle;2299575,04
Junio 2025;Preunic;3394285;13 - Metropolitana de Santiago;Peñalolén;018 Preunic - Calle Martirreno 3349, Peñalolén;Offline;Lifestyle;1451050,3
Junio 2025;Preunic;3394523;13 - Metropolitana de Santiago;Estación Central;039 Preunic - Alameda 3470, Estación Central;Offline;Lifestyle;1274568,54
Junio 2025;Maicao;3399116;08 - Biobío;Lebu;407 Maicao - Rio Seco 305, Lebu;Offline;Lifestyle;5287244,922
Junio 2025;Maicao;3394289;04 - Coquimbo;La Serena;047 Maicao - Cordovez 687, La Serena;Offline;Lifestyle;2150065,07
Junio 2025;Maicao;3399325;14 - Los Ríos;La Unión;211 Maicao - Esmeralda 706, La Unión;Offline;Lifestyle;3113651,077
Junio 2025;Maicao;3394394;05 - Valparaíso;Viña del Mar;265 Maicao - Av. Valparaíso 901-905, Viña del Mar;Offline;Lifestyle;2012499,083
Junio 2025;Maicao;3394427;13 - Metropolitana de Santiago;San Bernardo;453 Maicao - Eyzaguirre 665, San Bernardo;Offline;Lifestyle;1868470,027
Junio 2025;Maicao;No Definido;13 - Metropolitana de Santiago;Providencia;480 Maicao - Av. Andres Bello 2447 Loc 264, Providencia;Offline;Lifestyle;1019784,007
Junio 2025;Preunic;3394306;08 - Biobío;Concepción;012 Preunic - Barros Arana 774, Concepción;Offline;Lifestyle;9144452,66
Junio 2025;Preunic;3394323;05 - Valparaíso;Quillota;103 Preunic - Chacabuco 255, Quillota;Offline;Lifestyle;1455855,52
Junio 2025;Preunic;3399348;06 - Libertador General Bernardo OHiggins;San Fernando;053 Preunic - Manuel Rodriguez 720, San Fernando;Offline;Lifestyle;2790407,2
Junio 2025;Preunic;3394420;13 - Metropolitana de Santiago;San Bernardo;013 Preunic - Av. Eyzaguirre 591, San Bernardo;Offline;Lifestyle;2457323,82
Junio 2025;Maicao;3398985;01 - Tarapacá;Iquique;242 Maicao - Vivar 836, Iquique;Offline;Lifestyle;987138,0701
Junio 2025;Maicao;3399159;09 - La Araucanía;Pucón;419 Maicao - Bernardo OHiggins 372, Pucón;Offline;Lifestyle;2748178,967
Junio 2025;Maicao;3399235;13 - Metropolitana de Santiago;Recoleta;011 Maicao - Recoleta 305, Recoleta;Offline;Lifestyle;679711,0306
Junio 2025;Maicao;3399126;08 - Biobío;Concepción;400 Maicao - Barros Arana 780, Concepción;Offline;Lifestyle;2215923,121
Junio 2025;Maicao;3399239;13 - Metropolitana de Santiago;Maipú;291 Maicao - Av. 5 de Abril #33, Maipú;Offline;Lifestyle;1706290,08
Junio 2025;Maicao;3399124;08 - Biobío;Los Ángeles;256 Maicao - Colón 426, Los Ángeles;Offline;Lifestyle;2995832,211
Junio 2025;Maicao;3394435;13 - Metropolitana de Santiago;Santiago;233 Maicao - San Diego 2102, Santiago;Offline;Lifestyle;1474169,001
Junio 2025;Maicao;3399118;08 - Biobío;Talcahuano;078 Maicao - Colón 260, Talcahuano;Offline;Lifestyle;2480246,052
Junio 2025;Maicao;3399125;08 - Biobío;Tomé;411 Maicao - Manuel Montt 1062, Tomé;Offline;Lifestyle;2636148,095
Junio 2025;Maicao;3399000;04 - Coquimbo;Illapel;276 Maicao - Constitución 415, Illapel;Offline;Lifestyle;2820820,042
Junio 2025;Maicao;3436307;14 - Los Ríos;Río Bueno;465 Maicao - Comercio # 569, locales 5-6, Río Bueno;Offline;Lifestyle;2397877,084
Junio 2025;Maicao;3399030;05 - Valparaíso;Villa Alemana;057 Maicao - Av. Valparaíso 620, Villa Alemana;Offline;Lifestyle;1912404,113
Junio 2025;Maicao;3399001;04 - Coquimbo;La Serena;454 Maicao - Gregorio Cordovez # 516;Offline;Lifestyle;2654074,136
Junio 2025;Maicao;3436280;13 - Metropolitana de Santiago;Santiago;470 Maicao - Ohiggins 581, Santiago;Offline;Lifestyle;3445241,185
Junio 2025;Preunic;3394326;02 - Antofagasta;Antofagasta;024 Preunic - Av. Baquedano 676, Antofagasta;Offline;Lifestyle;4521111,07
Junio 2025;Preunic;3399532;13 - Metropolitana de Santiago;Buin;086 Preunic - Balmaceda 298, Buin;Offline;Lifestyle;4333456,4
Junio 2025;Preunic;3399547;14 - Los Ríos;Valdivia;076 Preunic - Ramón Picarte 333, Valdivia;Offline;Lifestyle;1286883,85
Junio 2025;Preunic;3394349;08 - Biobío;Talcahuano;078 Preunic - Jorge Alessandri 3177, Talcahuano;Offline;Lifestyle;2254782,25
Junio 2025;Preunic;3399522;07 - Maule;Talca;065 Preunic - Uno Sur 1537, Talca;Offline;Lifestyle;2365452,25
Junio 2025;Preunic;3399536;13 - Metropolitana de Santiago;Santiago;104 Preunic - Huérfanos 735, Santiago;Offline;Lifestyle;691247,2
Junio 2025;Preunic;3394522;13 - Metropolitana de Santiago;Maipú;028 Preunic - Av. Pajaritos 2100, Maipú;Offline;Lifestyle;1047773,58
Junio 2025;Preunic;3394358;04 - Coquimbo;Ovalle;081 Preunic - Vicuña Mackenna 66, Ovalle;Offline;Lifestyle;2808297,66
Junio 2025;Preunic;3394315;05 - Valparaíso;Viña del Mar;014 Preunic - Av. Libertad 1348, Viña del Mar;Offline;Lifestyle;4870114,27
Junio 2025;Preunic;3399541;13 - Metropolitana de Santiago;Las Condes;058 Preunic - Av. Apoquindo 6033, Las Condes;Offline;Lifestyle;628497,31
Junio 2025;Maicao;3399160;09 - La Araucanía;Temuco;079 Maicao - Diego Portales 986, Temuco;Offline;Lifestyle;913801,0595
Junio 2025;Maicao;3399220;13 - Metropolitana de Santiago;Buin;259 Maicao - José Manuel Balmaceda 224, Buin;Offline;Lifestyle;3805625,212
Junio 2025;Maicao;3399241;13 - Metropolitana de Santiago;Santiago;034 Maicao - San Isidro 23, Santiago;Offline;Lifestyle;1229876,043
Junio 2025;Maicao;3394389;05 - Valparaíso;Viña del Mar;025 Maicao - Av. Valparaíso 612, Viña del Mar;Offline;Lifestyle;2537122,174
Junio 2025;Maicao;3436281;05 - Valparaíso;Valparaíso;468 Maicao - Av. Pedro Montt 2625, Valparaíso;Offline;Lifestyle;828790,0299
Junio 2025;Maicao;3399261;13 - Metropolitana de Santiago;Santiago;002 Maicao - Unión Latino Americana 34, Santiago;Offline;Lifestyle;318382,0129
Junio 2025;Preunic;3394332;02 - Antofagasta;Calama;097 Preunic - Eleuterio Ramírez 2078, Calama;Offline;Lifestyle;2669360,4
Junio 2025;Preunic;3399346;06 - Libertador General Bernardo OHiggins;Rancagua;009 Preunic - Av. Independencia 780, Rancagua;Offline;Lifestyle;7579170,69
Junio 2025;Preunic;3399543;13 - Metropolitana de Santiago;Independencia;119 Preunic - Av. Independencia 565, Independencia;Offline;Lifestyle;592580,73
Junio 2025;Preunic;3394491;13 - Metropolitana de Santiago;Puente Alto;100 Preunic - Av. Concha y Toro 160, Puente Alto;Offline;Lifestyle;1998715,67
Junio 2025;Preunic;3436232;02 - Antofagasta;Antofagasta;134 Preunic - Av. Balmaceda 2355, Antofagasta;Offline;Lifestyle;2512627,88
Junio 2025;Maicao;3399245;13 - Metropolitana de Santiago;Santiago;004 Maicao - Meiggs 13, Santiago;Offline;Lifestyle;946939,0609
Junio 2025;Maicao;3399257;13 - Metropolitana de Santiago;Santiago;049 Maicao - San Antonio 282, Santiago;Offline;Lifestyle;421287,013
Junio 2025;Maicao;3399181;10 - Los Lagos;Osorno;064 Maicao - Eleuterio Ramírez 1085, Osorno;Offline;Lifestyle;1937379,143
Junio 2025;Maicao;3394295;04 - Coquimbo;Coquimbo;424 Maicao - Baquedano 86, Coquimbo;Offline;Lifestyle;1492024,083
Junio 2025;Maicao;3399119;08 - Biobío;Arauco;227 Maicao - Esmeralda 312, Arauco;Offline;Lifestyle;4508478,101
Junio 2025;Maicao;3394395;05 - Valparaíso;Viña del Mar;410 Maicao - Av. Valparaíso 1070, Viña del Mar;Offline;Lifestyle;2230994,055
Junio 2025;Maicao;3399214;12 - Magallanes y de la Antártica Chilena;Punta Arenas;281 Maicao - Carlos Bories 735, Punta Arenas;Offline;Lifestyle;1425653,07
Junio 2025;Maicao;3399229;13 - Metropolitana de Santiago;Melipilla;058 Maicao - Serrano 395, Melipilla;Offline;Lifestyle;2602591,142
Junio 2025;Maicao;3399099;07 - Maule;Curicó;266 Maicao - Peña 884, Curicó;Offline;Lifestyle;1134732,033
Junio 2025;Maicao;3399067;06 - Libertador General Bernardo OHiggins;Rancagua;056 Maicao - Independencia 784, Rancagua;Offline;Lifestyle;1202620,093
Junio 2025;Maicao;3399262;13 - Metropolitana de Santiago;Santiago;289 Maicao - Av. Libertador Bernardo OHiggins 1322, Santiago;Offline;Lifestyle;722122,0237
Junio 2025;Maicao;3394495;13 - Metropolitana de Santiago;Puente Alto;097 Maicao - Av. Concha y Toro 464, Puente Alto;Offline;Lifestyle;1105519,032
Junio 2025;Preunic;3394330;02 - Antofagasta;Calama;054 Preunic - Av. Balmaceda 3242, Calama;Offline;Lifestyle;1277042,55
Junio 2025;Preunic;3399533;13 - Metropolitana de Santiago;Melipilla;074 Preunic - Plaza de Armas 489, Melipilla;Offline;Lifestyle;1869373,38
Junio 2025;Preunic;3394520;13 - Metropolitana de Santiago;Huechuraba;020 Preunic - Av. Américo Vespucio 1737, Huechuraba;Offline;Lifestyle;3425619,68
Junio 2025;Preunic;3394334;02 - Antofagasta;Antofagasta;121 Preunic - Las Terrazas 1203-1205, Antofagasta;Offline;Lifestyle;4345631,29
Junio 2025;Preunic;3394333;15 - Arica y Parinacota;Arica;114 Preunic - Av. Diego Portales 640, Arica;Offline;Lifestyle;1529021,48
Junio 2025;Preunic;3399542;13 - Metropolitana de Santiago;Colina;124 Preunic - Avenida San Martin 50, local 10;Offline;Lifestyle;2375859,99
Junio 2025;Preunic;3394325;05 - Valparaíso;Calera;126 Preunic - Jose Joaquín Pérez 233, Calera;Offline;Lifestyle;1457116,92
Junio 2025;Preunic;No Definido;13 - Metropolitana de Santiago;Maipú;147 Preunic - Av. Américo Vespucio N 399 Local 633-634, Maipú;Offline;Lifestyle;1019784,007
Junio 2025;Preunic;3394356;03 - Atacama;Copiapó;051 Preunic - OHiggins 513, Copiapó;Offline;Lifestyle;3534915,23
Junio 2025;Preunic;3400936;12 - Magallanes y de la Antártica Chilena;Punta Arenas;127 Preunic - Gobernador Carlos Bories 858, Punta Arenas;Offline;Lifestyle;4117983,1
Junio 2025;Preunic;3399519;06 - Libertador General Bernardo OHiggins;Rancagua;123 Preunic - Independecia 584, Rancagua;Offline;Lifestyle;3113189,94
Junio 2025;Preunic;3411569;07 - Maule;Talca;133 Preunic - UNO SUR 1582, 1588 y 1590;Offline;Lifestyle;6539979,39
Junio 2025;Maicao;3394437;13 - Metropolitana de Santiago;San Bernardo;296 Maicao - Presidente Jorge Alessandri Rodríguez 20040, San Bernardo;Offline;Lifestyle;2042071,214
Junio 2025;Maicao;3399222;13 - Metropolitana de Santiago;Talagante;232 Maicao - Av. Bernardo OHiggins 1074, Talagante;Offline;Lifestyle;4052936,224
Junio 2025;Maicao;3399036;05 - Valparaíso;Valparaíso;207 Maicao - Pedro Montt 2098, Valparaíso;Offline;Lifestyle;1269176,007
Junio 2025;Maicao;3399179;10 - Los Lagos;Ancud;062 Maicao - Pudeto 254, Ancud;Offline;Lifestyle;2557330,016
Junio 2025;Maicao;3399158;09 - La Araucanía;Villarrica;405 Maicao - Camilo Henríquez 425, Villarrica;Offline;Lifestyle;2531709,102
Junio 2025;Maicao;3394399;02 - Antofagasta;Antofagasta;073 Maicao - Manuel Antonio Matta 2465, Antofagasta;Offline;Lifestyle;1331588,116
Junio 2025;Maicao;3399087;07 - Maule;San Javier de Loncomilla;094 Maicao - Arturo Prat 2378-2382, San Javier de Loncomilla;Offline;Lifestyle;6029359,006
Junio 2025;Maicao;3399180;10 - Los Lagos;Castro;086 Maicao - San Martín 595, Castro;Offline;Lifestyle;2139126,055
Junio 2025;Maicao;3394498;13 - Metropolitana de Santiago;Puente Alto;412 Maicao - Av. Concha y Toro 26, Puente Alto;Offline;Lifestyle;2094290,032
Junio 2025;Maicao;3410739;13 - Metropolitana de Santiago;Santiago;500 Maicao - Unión Latinoamericana 34n;Offline;Lifestyle;737805,9857
Junio 2025;Maicao;3399187;10 - Los Lagos;Puerto Montt;215 Maicao - Illapel 10, Puerto Montt;Offline;Lifestyle;1371797,074
Junio 2025;Maicao;3394397;15 - Arica y Parinacota;Arica;065 Maicao - 21 de Mayo #233, Arica;Offline;Lifestyle;913324,0242
Junio 2025;Maicao;3436378;13 - Metropolitana de Santiago;Ñuñoa;469 Maicao - Av. Irarrázaval 2771, Ñuñoa;Offline;Lifestyle;1117682,094
Junio 2025;Maicao;3399251;13 - Metropolitana de Santiago;Santiago;003 Maicao - Meiggs 24, Santiago;Offline;Lifestyle;1258826,042
Junio 2025;Preunic;3394360;03 - Atacama;Copiapó;085 Preunic - Maipú 110, Copiapó;Offline;Lifestyle;3274972,82
Junio 2025;Preunic;3394312;05 - Valparaíso;Valparaíso;011 Preunic - Av. Uruguay 359, Valparaíso;Offline;Lifestyle;2336492,41
Junio 2025;Preunic;3436275;10 - Los Lagos;Puerto Varas;136 Preunic - Del Salvador 417, Puerto Varas;Offline;Lifestyle;2319446,85
Junio 2025;Preunic;3399540;13 - Metropolitana de Santiago;Santiago;040 Preunic - Alameda 3105, Santiago;Offline;Lifestyle;656824,07
Junio 2025;Preunic;3399527;10 - Los Lagos;Puerto Montt;019 Preunic - Urmeneta 580, Puerto Montt;Offline;Lifestyle;1484733,25
Junio 2025;Preunic;3394342;09 - La Araucanía;Temuco;033 Preunic - Av. Diego Portales 968, Temuco;Offline;Lifestyle;1349830,09
Junio 2025;Maicao;3410738;09 - La Araucanía;Temuco;457 Maicao - Manuel Bulnes # 537, local 101;Offline;Lifestyle;815064,0463
Junio 2025;Maicao;3399026;05 - Valparaíso;Quillota;090 Maicao - Chacabuco 232, Quillota;Offline;Lifestyle;1859731,131
Junio 2025;Maicao;3394496;13 - Metropolitana de Santiago;Puente Alto;235 Maicao - Jose Luis Coo 113, Puente Alto;Offline;Lifestyle;1782234,107
Junio 2025;Maicao;3399117;08 - Biobío;Curanilahue;253 Maicao - Arturo Prat 1280, Curanilahue;Offline;Lifestyle;5200315,97
Junio 2025;Maicao;3399246;13 - Metropolitana de Santiago;Puente Alto;067 Maicao - Av. Camilo Henríquez 3692, Puente Alto;Offline;Lifestyle;2166894,145
Junio 2025;Maicao;3394297;04 - Coquimbo;Salamanca;450 Maicao - Manuel Bulnes 499, Salamanca;Offline;Lifestyle;3342974,013
Junio 2025;Maicao;No Definido;02 - Antofagasta;Antofagasta;478 Maicao - Pedro Aguirre Cerda 10578, local 105 y 106, Antofagasta;Offline;Lifestyle;1019784,007
Junio 2025;Maicao;3399252;13 - Metropolitana de Santiago;Santiago;202 Maicao - Alameda 1483, Santiago;Offline;Lifestyle;624418,9896
Junio 2025;Maicao;No Definido;16 - Ñuble;Chillán;477 Maicao - El Roble 770, local 6-8, Chillán;Offline;Lifestyle;1019784,007
Junio 2025;Preunic;3394316;05 - Valparaíso;Viña del Mar;026 Preunic - Av. Valparaíso 449, Viña del Mar;Offline;Lifestyle;1663247,53
