"Fechas";"Cadena";"Código SAP POS";"Región";"Comuna";"Local";"Online/Offline";"División";"Valores PVP c/IVA"
"Febrero 2024";"Ahumada";"3411405";"16 - Ñuble";"Chillán";"478 Ahumada - Av. Collin 698, Chillán";"Offline";"Lifestyle";"81.895,800000"
"Febrero 2024";"Ahumada";"3411381";"13 - Metropolitana de Santiago";"Maipú";"064 Ahumada - Av. Américo Vespucio 1001, Maipú";"Offline";"Lifestyle";"486.901,590000"
"Febrero 2024";"Ahumada";"3411440";"13 - Metropolitana de Santiago";"Providencia";"272 Ahumada - Av. Los Leones 1160, Providencia";"Offline";"Lifestyle";"167.059,340000"
"Febrero 2024";"Ahumada";"3411509";"04 - Coquimbo";"La Serena";"439 Ahumada - Francisco de Aguirre 2, La Serena";"Offline";"Lifestyle";"642.016,900000"
"Febrero 2024";"Ahumada";"3399571";"08 - Biobío";"Los Ángeles";"571 Ahumada - Av. Sor Vicenta 2575, Los Ángeles";"Offline";"Lifestyle";"694.096,060000"
"Febrero 2024";"Ahumada";"3399569";"08 - Biobío";"Hualpén";"191 Ahumada - Av. Colón 8961, Hualpén";"Offline";"Lifestyle";"650.802,670000"
"Febrero 2024";"Ahumada";"3402847";"13 - Metropolitana de Santiago";"Las Condes";"011 Ahumada - Kennedy 5413, Las Condes";"Offline";"Lifestyle";"423.562,650000"
"Febrero 2024";"Ahumada";"3411357";"07 - Maule";"Curicó";"172 Ahumada - Peña 724, Curicó";"Offline";"Lifestyle";"595.935,340000"
"Febrero 2024";"Ahumada";"3399590";"11 - Aysén del General Carlos Ibañez del Campo";"Aysén";"373 Ahumada - Sargento Aldea 1089, Aysén";"Offline";"Lifestyle";"455.778,330000"
"Febrero 2024";"Ahumada";"3411388";"13 - Metropolitana de Santiago";"Providencia";"656 Ahumada - Av. Andres Bello 2447, Providencia";"Offline";"Lifestyle";"202.190,520000"
"Febrero 2024";"Ahumada";"3399718";"05 - Valparaíso";"Concón";"623 Ahumada - Av. Manantiales 955, Concón";"Offline";"Lifestyle";"737.851,170000"
"Febrero 2024";"Ahumada";"3411478";"13 - Metropolitana de Santiago";"Buin";"525 Ahumada - Bernardino Braco 0115, Buin";"Offline";"Lifestyle";"224.249,550000"
"Febrero 2024";"Ahumada";"3411356";"08 - Biobío";"Concepción";"289 Ahumada - Barros Arana 501, Concepción";"Offline";"Lifestyle";"377.228,810000"
"Febrero 2024";"Ahumada";"3436233";"15 - Arica y Parinacota";"Arica";"436 Ahumada - Diego Portales 2291, Arica";"Offline";"Lifestyle";"178.169,180000"
"Febrero 2024";"Ahumada";"3411501";"04 - Coquimbo";"La Serena";"134 Ahumada - Cordovez 631-651, La Serena";"Offline";"Lifestyle";"474.974,220000"
"Febrero 2024";"Ahumada";"3399605";"13 - Metropolitana de Santiago";"La Florida";"292 Ahumada - Av. La Florida 9497, La Florida";"Offline";"Lifestyle";"365.526,350000"
"Febrero 2024";"Ahumada";"3411406";"13 - Metropolitana de Santiago";"Puente Alto";"422 Ahumada - Av. Concha y Toro 1149, Puente Alto";"Offline";"Lifestyle";"185.612,630000"
"Febrero 2024";"Ahumada";"3411347";"10 - Los Lagos";"Puerto Varas";"450 Ahumada - San Francisco 350, Puerto Varas";"Offline";"Lifestyle";"555.202,830000"
"Febrero 2024";"Ahumada";"3399720";"02 - Antofagasta";"Antofagasta";"121 Ahumada - Arturo Prat 605, Antofagasta";"Offline";"Lifestyle";"451.468,150000"
"Febrero 2024";"Ahumada";"3411510";"13 - Metropolitana de Santiago";"La Florida";"394 Ahumada - Froilan Roa 7107, La Florida";"Offline";"Lifestyle";"112.144,410000"
"Febrero 2024";"Ahumada";"3411524";"13 - Metropolitana de Santiago";"La Reina";"597 Ahumada - Larraín 5862, La Reina";"Offline";"Lifestyle";"63.675,710000"
