Id;Hora de inicio;Hora de finalización;Correo electrónico;Nombre;En una escala del 0 al 10, ¿qué probabilidad hay de que recomiendes esta app a un/a colega?;¿La app Brand Experience te ha sido útil para mejorar tu conocimiento sobre los productos?;Del 1 al 5, ¿qué tan motivado/a te sientes a completar cursos gracias a los premios ofrecidos?;¿La app te ha sido útil en tu día a día?;"¿Te gustaría dejarnos un comentario?
 Cuéntanos cómo te ha ayudado la app o qué podríamos mejorar."
1;29-05-25 13:36;29-05-25 13:36;anonymous;;10;Sí;4;Sí;
2;29-05-25 13:44;29-05-25 13:45;anonymous;;10;Sí;5;Sí;
3;29-05-25 13:44;29-05-25 13:45;anonymous;;8;Sí;2;Sí;
4;29-05-25 13:45;29-05-25 13:45;anonymous;;10;Sí;5;Sí;Fácil de usar dinámica entretenida
5;29-05-25 13:46;29-05-25 13:48;anonymous;;10;Sí;5;Sí;Excelente información de los contenidos, elegantes, nada a mejor, solo felicitación por tan buena información para ayudar a la venta.
6;29-05-25 13:55;29-05-25 13:56;anonymous;;10;Sí;5;Sí;Ojala puedan permitir el acceso a los diferentes cursos en diferentes áreas sin la necesidad de un código. Para que de esa forma el aprendizaje pueda ser más amplio y no limitado a una sola área.
7;29-05-25 13:56;29-05-25 13:57;anonymous;;10;Sí;5;Sí;Gracias a la app y brand experience , me en informado más sobre el mundo aroma calidad duración totalmente recomendable.
8;29-05-25 13:56;29-05-25 13:58;anonymous;;10;Sí;5;Sí;Más conocimiento de los productos para ofrecerlos con confianza a nuestros clientes 
9;29-05-25 14:04;29-05-25 14:04;anonymous;;10;Sí;5;Sí;Muy calor todos los contenidos
10;29-05-25 14:45;29-05-25 14:51;anonymous;;10;Sí;5;Sí;
11;29-05-25 16:40;29-05-25 16:41;anonymous;;10;Sí;5;Sí;Enfocaría esta app en conocimientos generales y estrategias de venta, para ayudar a mis colegas
12;29-05-25 18:11;29-05-25 18:12;anonymous;;10;Sí;5;No;Tener un chat para resolver dudas o problemas por ejemplo a mi no me otorga una insignia a pesar de que hice todo al máximo 
13;30-05-25 09:22;30-05-25 09:23;anonymous;;10;Sí;5;Sí;
14;30-05-25 21:38;30-05-25 21:39;anonymous;;10;Sí;5;Sí;Mas sonidos 
15;31-05-25 22:56;31-05-25 22:56;anonymous;;10;Sí;5;Sí;
16;02-06-25 09:37;02-06-25 09:37;anonymous;;8;Sí;5;Sí;
17;02-06-25 12:16;02-06-25 12:17;anonymous;;9;Sí;5;Sí;
18;03-06-25 16:45;03-06-25 16:45;anonymous;;10;Sí;5;Sí;
19;03-06-25 19:13;03-06-25 19:14;anonymous;;10;Sí;5;Sí;
20;05-06-25 00:45;05-06-25 00:46;anonymous;;10;Sí;4;Sí;Tiene información muy didáctica y útil para utilizar a la hora de ofrecer un producto 
21;06-06-25 08:45;06-06-25 08:46;anonymous;;10;Sí;5;Sí;
22;06-06-25 17:12;06-06-25 17:13;anonymous;;5;Sí;5;Sí;
23;06-06-25 21:21;06-06-25 21:22;anonymous;;8;Sí;4;Sí;
24;07-06-25 14:25;07-06-25 14:29;anonymous;;10;Sí;5;Sí;.
25;07-06-25 15:19;07-06-25 15:20;anonymous;;10;Sí;5;Sí;Me encanta ñn los cursos ya que me es más fácil ofrecer perfumes a mis clientes según sus necesidades y gustos
26;09-06-25 18:37;09-06-25 18:37;anonymous;;10;Sí;5;Sí;
27;22-06-25 09:21;22-06-25 09:21;anonymous;;9;Sí;5;Sí;
28;24-06-25 21:23;24-06-25 21:23;anonymous;;9;Sí;5;Sí;
29;26-06-25 11:16;26-06-25 11:17;anonymous;;10;Sí;5;Sí;La app ha sido muy entretenida y dinámica a la hora de aprender 
30;01-07-25 11:47;01-07-25 11:48;anonymous;;10;Sí;5;Sí;Carguen más cursos no puedo seguir trabajando en la app ya que no tengo más cursos disponibles para mi
