;;;;;Valores PVP c/IVA;;;
Cadena;Código SAP POS;Local;Online/Offline;División;may-24;may-25;jun-24;jun-25
Preunic;3410735;131 Preunic - Av. Alemania 671, Temuco;Offline;Lifestyle;2.317.698,74;2.401.890,05;2.659.007,40;1898561,7
Preunic;3394348;075 Preunic - Manuel Montt 350, Coronel;Offline;Lifestyle;2.366.198,38;2.083.092,62;2.020.689,02;1334400,55
Preunic;3394319;047 Preunic - Barros Luco 105, San Antonio;Offline;Lifestyle;3.311.856,87;4.027.369,36;3.711.193,50;3157360,36
Preunic;3394490;089 Preunic - Concha y Toro 468, Puente Alto;Offline;Lifestyle;1.118.600,00;1.086.704,43;1.209.300,61;1202480,72
Preunic;3436234;142 Preunic - José Pedro Alessandri 1166, Ñuñoa;Offline;Lifestyle;0;591.969,07;0,00;802426,52
Maicao;3399184;205 Maicao - Del Salvador 240, Puerto Varas;Offline;Lifestyle;904.165,95;954.519,94;794.666,01;999162,9963
Maicao;3399254;014 Maicao - Estado 114, Santiago;Offline;Lifestyle;788.273,98;897.761,01;691.402,03;553471,023
Maicao;3399228;035 Maicao - Manuel Antonio Matta 536, Quilicura;Offline;Lifestyle;1.520.163,96;1.228.797,97;1.005.972,06;1130515,101
Maicao;3399034;263 Maicao - OHiggins 198, Quillota;Offline;Lifestyle;1.301.651,01;1.829.969,96;1.410.230,03;1171043,074
Maicao;3399096;408 Maicao - Quechereguas 2027, Molina;Offline;Lifestyle;3.459.771,72;2.880.129,96;3.355.595,20;2753135,031
Maicao;3399265;293 Maicao - Av. Américo Vespucio 1501, Cerrillos;Offline;Lifestyle;1.020.071,94;1.075.767,95;1.106.022,03;683379,0509
Maicao;3394425;248 Maicao - Américo Vespucio 75, La Cisterna;Offline;Lifestyle;5.372.066,71;4.746.454,88;5.043.444,02;4352973,174
Maicao;3436255;459 Maicao - Avenida Ambrosio Ohiggins 1998, Curacaví;Offline;Lifestyle;1.380.002,89;1.790.025,88;1.304.686,05;1293652,998
Maicao;No Definido;482 Maicao - Sin Direccion;Offline;Lifestyle;0;1.383.038,91;0,00;1019784,007
Maicao;3410737;456 Maicao - Av. Balmaceda # 233, Laja;Offline;Lifestyle;2.815.553,93;3.659.790,91;2.772.591,09;3098953,077
Maicao;3394403;445 Maicao - Tarapacá 521, Iquique;Offline;Lifestyle;739.123,96;711.467,97;895.267,98;568287,0109
Maicao;3399162;452 Maicao - Av Bernardo OHiggins # 978 Local 1, Lautaro;Offline;Lifestyle;3.129.484,93;4.466.025,89;2.404.980,08;3807405,012
Maicao;3399123;451 Maicao - Aníbal Pinto 592, Concepción;Offline;Lifestyle;3.445.248,87;3.089.786,92;3.534.814,08;1975411,079
Maicao;3399253;286 Maicao - Estado 352, Santiago;Offline;Lifestyle;697.646,96;840.096,98;715.060,97;825605,0187
Maicao;3399244;447 Maicao - Terminal Sur Interior, Local 102, Estación Central;Offline;Lifestyle;2.576.915,96;0;978.564,05;0
Maicao;3436231;471 Maicao - Barros Arana 541, Concepción;Offline;Lifestyle;854.774,94;1.233.327,96;928.014,06;1239285,052
Maicao;3436256;473 Maicao - 21 de mayo #523, Santiago;Offline;Lifestyle;668.348,98;844.769,98;612.524,07;986171,0999
Preunic;3394329;052 Preunic - Vivar 610, Iquique;Offline;Lifestyle;2.115.139,32;2.257.227,70;2.363.965,94;2299575,04
Preunic;3394285;018 Preunic - Calle Martirreno 3349, Peñalolén;Offline;Lifestyle;1.536.661,28;1.348.449,69;1.826.295,38;1451050,3
Preunic;3394523;039 Preunic - Alameda 3470, Estación Central;Offline;Lifestyle;1.932.545,72;1.018.712,59;2.354.194,85;1274568,54
Maicao;3399116;407 Maicao - Rio Seco 305, Lebu;Offline;Lifestyle;6.833.050,66;7.211.271,85;5.520.039,08;5287244,922
